aktionsplan-city-2020-2026,Aktionsplan City 2020-2026,soci,gove,econ
allgemeinbildende-schulen,Allgemeinbildende Schulen,educ
altersstruktur-der-bevolkerung,Altersstruktur der Bevölkerung,soci
arbeitsmarkt,Arbeitsmarkt,econ
armutsbekaempfung,Indikatoren zum Thema Armutsbekämpfung,soci,econ
baumkataster,Baumkataster
baustellen,Baustellen,tran
bautaetigkeit,Bautätigkeit,soci,regi
behindertenparkplaetze,Behindertenparkplätze,tran
bevoelkerung,Bevölkerung Quartalsbericht,soci
bevoelkerung-jahresbericht,Bevölkerung Jahresbericht,soci
bevolkerung,Bevölkerung,soci
bevolkerungsbewegungen,Bevölkerungsbewegungen,soci
bewohnerparkzonen,Bewohnerparkzonen,tran
blitzer,Blitzer,tran
blitzer-strecken,Blitzer Strecken,tran
bundestagswahl-2013,Bundestagswahl 2013,gove
bundestagswahl-2017,Bundestagswahl 2017,gove
busparkplaetze,Busparkplätze,tran
daten-des-haushaltsplans-2019-2020,Daten des Haushaltsplans 2019/2020,gove
daten-des-haushaltsplans-2021,Daten des Haushaltsplans 2021,gove
daten-des-haushaltsplans-2022-2023,Daten des Haushaltsplans 2022/2023,gove
daten-und-fakten,Daten und Fakten,soci,gove
energieberichte-karlsruhe,Energieberichte Karlsruhe,ener,envi
escooter-in-karlsruhe,eScooter in Karlsruhe,tran
europawahl-2019,Europawahl 2019,gove
fachplane-baumkataster1,Fachpläne - Baumkataster,agri,envi
fahrrad-abstellanlagen,Fahrrad Abstellanlagen,tran
farmshops-eu,farmshops.eu
fremdenverkehr,Fremdenverkehr,educ
fussgaengerzone-karlsruhe,Fußgängerzone Karlsruhe,tran
gebaudegroenstruktur,Gebäudegrößenstruktur,soci,regi
gebaude-und-wohnungen,Gebäude und Wohnungen,soci,regi
geschwindigkeiten,Geschwindigkeiten,tran
geschwindigkeitsmessungen,Geschwindigkeitsmessungen,tran
haushalte,Haushalte,soci
haushaltsplan-2011-2012,Haushaltsplan 2011/2012,gove
haushaltsplan-2013-2014,Haushaltsplan 2013/2014,gove
haushaltsplan-2015-2016,Haushaltsplan 2015/2016,gove
haushaltsplan-2017-2018,Haushaltsplan 2017/2018,gove
haushaltsplan-2019-2020,Haushaltsplan 2019/2020
haushaltsplan-daten-2017-2018,Daten des Haushaltsplans 2017/2018,gove
https-www-karlsruhe-de-b3-natur_und_umwelt-umweltschutz-laerm-laermaktionsplan-de,Lärmaktionsplan,heal,envi
indikatoren-gleichstellung-frau-mann,Indikatoren zur Gleichstellung von Frauen und Männern,soci,econ
informationen-zum-immobilienmarkt-karlsruhe,Informationen zum Immobilienmarkt Karlsruhe,soci
integriertes-stadtentwicklungskonzept-karlsruhe-2020,Integriertes Stadtentwicklungskonzept Karlsruhe,soci,regi
